step,policy_action_0,policy_action_1,policy_action_2,policy_action_3,policy_action_4,policy_action_5,policy_action_6,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,ctrl_6,ctrl_7,ctrl_8,ctrl_9,ctrl_10,ctrl_11,ctrl_12,ctrl_13,ctrl_14
0,-0.3600084644660056,0.5710719076652526,-0.6704746575561762,-0.044905961600869376,-0.0012727552367483852,0.07142342354936992,-0.9965297947695255,-0.00045687847234503654,0.0010411880469036725,-0.9588295504219315,6.966717626733425e-05,2.000535733713186,-0.0017379280988791593,0.7853143932102511,0.0061740010551721985,-6.258413298349197e-05,-0.9601051318745081,-0.0011288963254310479,1.9996492183277739,-0.0004324724966955742,0.7858994433168297,-0.0020603426487232177,-0.36000847816467285,0.5710719227790833,-0.670474648475647,-0.04490596055984497,-0.0012727552093565464,0.07142342627048492,-0.9965298175811768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.3600084644660056,0.5710719076652526,-0.6704746575561762,-0.044905961600869376,-0.0012727552367483852,0.07142342354936992,-0.9965297947695255,-0.0015187887403279412,0.004029183348331789,-0.9558791460328568,0.0002716596658696705,2.002074738088545,-0.005671565622637443,0.7846554775313046,0.01917898010168528,-0.0007245266286606293,-0.9605715965816845,-0.004313362551984563,1.9984675348100525,-0.0022813357449880146,0.7874679870905121,-0.0070688499141694176,-0.34903109073638916,0.6887655854225159,-0.6215697526931763,-0.05258406326174736,-0.0009874476818367839,0.06279989331960678,-0.9982141256332397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.3600084644660056,0.5710719076652526,-0.6704746575561762,-0.044905961600869376,-0.0012727552367483852,0.07142342354936992,-0.9965297947695255,-0.0028726235226684575,0.008656494547644004,-0.9514068912420641,0.0005751658220995834,2.004445197207079,-0.011028474286664498,0.7833503888047414,0.035242144482547054,-0.002115535297980797,-0.961191653181649,-0.009206122041748251,1.9965467689213727,-0.005316020214198044,0.7900721316018648,-0.013749906067464599,-0.3085213899612427,0.7199704647064209,-0.5186008214950562,-0.05550080165266991,0.0033766007982194424,0.06418104469776154,-0.9967779517173767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.3600084644660056,0.5710719076652526,-0.6704746575561762,-0.044905961600869376,-0.0012727552367483852,0.07142342354936992,-0.9965297947695255,-0.004314167925828517,0.014634506390180503,-0.9457144137864055,0.000947204831703734,2.007467595531231,-0.017477444855750632,0.7814787004916016,0.05294311831366981,-0.004155991604024793,-0.9618948894195966,-0.015482196207804761,1.994048785348155,-0.009047705269030872,0.7936455826825576,-0.02120516888548367,-0.20974688231945038,0.6447657346725464,-0.3800945580005646,-0.059603285044431686,0.009870940819382668,0.06800491362810135,-0.9992576837539673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.3600084644660056,0.5710719076652526,-0.6704746575561762,-0.044905961600869376,-0.0012727552367483852,0.07142342354936992,-0.9965297947695255,-0.0056883501220205464,0.021732874959956544,-0.9390512724103633,0.0013566112468246603,2.0109851806706254,-0.02476026553467659,0.779106324581746,0.07161673194342898,-0.00675621242614328,-0.9626199771506029,-0.022863156571033234,1.9911019191345252,-0.013104436402298036,0.7980894438658982,-0.02888089631128559,-0.04077322781085968,0.43127816915512085,-0.17824618518352509,-0.058868031948804855,0.014196657575666904,0.049355484545230865,-1.0059880018234253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.3600084644660056,0.5710719076652526,-0.6704746575561762,-0.044905961600869376,-0.0012727552367483852,0.07142342354936992,-0.9965297947695255,-0.006957321479034197,0.029768145905996926,-0.9316254565039246,0.0017705627741201923,2.014862318024573,-0.032674952851061034,0.7762957716997709,0.09097344249903208,-0.009821291411613945,-0.9633165171296527,-0.031112889822985566,1.9878106179424015,-0.017198366777851696,0.8032966506933614,-0.036408399020662945,-0.017599062994122505,0.31554844975471497,-0.10957946628332138,-0.05122269690036774,0.001710743410512805,0.03524372726678848,-1.0021296739578247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.3600084644660056,0.5710719076652526,-0.6704746575561762,-0.044905961600869376,-0.0012727552367483852,0.07142342354936992,-0.9965297947695255,-0.008167844049995715,0.03859686933313206,-0.923606411820456,0.002156129802612386,2.0189818435983478,-0.04106103770804719,0.7731007822029258,0.11091618307680132,-0.013256337382757548,-0.9639451128025968,-0.040030766896275397,1.9842609882132802,-0.02111417628410431,0.8091532066812716,-0.043523928323738754,-0.028941811993718147,0.23110078275203705,-0.08441726118326187,-0.04084472358226776,-0.003234229050576687,0.027891047298908234,-1.0002195835113525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.3600084644660056,0.5710719076652526,-0.6704746575561762,-0.044905961600869376,-0.0012727552367483852,0.07142342354936992,-0.9965297947695255,-0.009364198437203047,0.04810948366429438,-0.9151283133559054,0.0024832880938555754,2.0232466198160557,-0.04978452525298212,0.769556959402364,0.13134546509629877,-0.016969226367740304,-0.9644764352360103,-0.04944340478672084,1.9805234522451034,-0.024712212284584482,0.815531220650375,-0.05004237564531184,-0.06159502640366554,0.21454690396785736,-0.09827101230621338,-0.03371585160493851,-0.006887964438647032,0.028125036507844925,-0.9995086193084717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.3600084644660056,0.5710719076652526,-0.6704746575561762,-0.044905961600869376,-0.0012727552367483852,0.07142342354936992,-0.9965297947695255,-0.010555522269738273,0.0582192750403016,-0.9063010222367786,0.0027268079155875306,2.027575523298055,-0.05873130262330479,0.7656912915969135,0.15224310602159474,-0.020869704471597222,-0.9648910822111443,-0.05920204601821474,1.9766566434355701,-0.027907958350647744,0.8223014809463062,-0.055827892846686655,-0.05052492395043373,0.23269164562225342,-0.08045592904090881,-0.035191163420677185,-0.006062268745154142,0.02895570546388626,-1.0026243925094604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.3600084644660056,0.5710719076652526,-0.6704746575561762,-0.044905961600869376,-0.0012727552367483852,0.07142342354936992,-0.9965297947695255,-0.011733315409980714,0.06885450763037022,-0.8972173387739449,0.0028656588477393736,2.0319009605480924,-0.06780539461500654,0.7615332384674214,0.1736108374325497,-0.02487205004205903,-0.9651778301419635,-0.06917587411056787,1.97270852678416,-0.030675111290445995,0.8293239253693908,-0.06079620626332243,-0.04735496640205383,0.252175509929657,-0.08060235530138016,-0.037995222955942154,-0.005711744539439678,0.03082791529595852,-1.0036848783493042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.503854985526234,0.10326939137876023,-0.5745549774855375,0.02399182362235691,-0.11290372759956602,0.1881864128933159,-0.9929443371534944,-0.013095376658267762,0.07994947252704487,-0.8879590779355346,0.002883875832884209,2.0361655997451997,-0.07693251639433665,0.7571208833047416,0.19543356683063878,-0.028870630930224416,-0.9653391003473282,-0.07926022802815798,1.9687392573792446,-0.033127230673275075,0.8363895479100628,-0.06478734602620273,-0.5038549900054932,0.10326939076185226,-0.574554979801178,0.023991823196411133,-0.11290372908115387,0.1881864070892334,-0.9929443597793579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.503854985526234,0.10326939137876023,-0.5745549774855375,0.02399182362235691,-0.11290372759956602,0.1881864128933159,-0.9929443371534944,-0.014635866697754605,0.09145405982594924,-0.8785911356402597,0.0027692012159107856,2.0403247498901877,-0.08603796683813254,0.7524722111302307,0.21765883381377782,-0.032697875502314316,-0.965442680984747,-0.08940899361869992,1.9648961566182732,-0.03581765345229371,0.8429048112442269,-0.06744056950200825,-0.3582887053489685,0.24731558561325073,-0.5293996930122375,-0.0006553524872288108,-0.0762939602136612,0.17775024473667145,-0.9998058676719666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.503854985526234,0.10326939137876023,-0.5745549774855375,0.02399182362235691,-0.11290372759956602,0.1881864128933159,-0.9929443371534944,-0.016133487908984053,0.10332633219867993,-0.8691664041063026,0.00251327149662623,2.0443426764757273,-0.09505999935638451,0.7476042369685967,0.2402422644632341,-0.036229273616749304,-0.9656057125199101,-0.09960143226877097,1.961311720423739,-0.03904807162706364,0.8483673346481072,-0.0688608958303579,-0.18882527947425842,0.35305383801460266,-0.4664599299430847,-0.006431732792407274,-0.05008361116051674,0.15003487467765808,-0.9994219541549683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
